scientific_name;genus;country_id;locality;ddlat;ddlong;recorded_by;colnum_full;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;orig_bc;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;barcode;colnum;specific_epithet;orig_recby;coll_surname
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903342;0;0;0;;;0;;;;0;0;0;MPU903342;nan;burahol;Molino, J.-F.;Molino
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;Molino;<NA>;UM;MPU;MPU903341;0;0;0;;;0;;;;0;0;0;MPU903341;nan;rumphii;Molino, J.-F.;Molino
Polyalthia rumphii (Blume ex Hensch.) Merr.;Hubera;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;<NA>;<NA>;UM;MPU;MPU1334891;0;0;0;;;0;;;;0;0;0;MPU1334891;nan;rumphii;Molino, J.-F.;Molino
Stelechocarpus burahol (Blume) Hook.f. & Thomson;Stelechocarpus;ID;<NA>;-0.316;100.73;Molino, JF;;15;12;1987;<NA>;<NA>;UM;MPU;MPU1334896;0;0;0;;;0;;;;0;0;0;MPU1334896;nan;burahol;Molino, J.-F.;Molino
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;<NA>;-3.5;128.7;Molino, JF;;9;12;1988;<NA>;<NA>;UM;MPU;MPU1291222;0;0;0;;;0;;;;0;0;0;MPU1291222;nan;odorata;Molino, J.-F.;Molino
Cananga odorata (Lam.) Hook.f. & Thomson;Cananga;ID;<NA>;-3.5;128.7;Molino, JF;;9;12;1988;<NA>;<NA>;UM;MPU;MPU1291241;0;0;0;;;0;;;;0;0;0;MPU1291241;nan;odorata;Molino, J.-F.;Molino
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;Meade, C. (2000);<NA>;G;Geneva Herbarium – General Collection (G);G-G-288807/1;0;0;0;;;0;;;;0;0;0;G288807/1;nan;dulcis;Lahaie, F. de;Lahaie
Uvaria dulcis Dunal;Uvaria;ID;Java - Java;-7.50278;111.26306;Lahaie, F de;;;;;Meade, C. (2000);<NA>;G;Geneva Herbarium – General Collection (G);G-G-288807/3;0;0;0;;;0;;;;0;0;0;G288807/3;nan;dulcis;Lahaie, F. de;Lahaie
Friesodielsia Steenis;Friesodielsia;ID;Bornéo;1.0;114.0;Clemens, J;;13;6;1932;<NA>;<NA>;G;Geneva Herbarium – General Collection (G);G-G-236042/1;0;0;0;;;0;;;;0;0;0;G236042/1;nan;;Clemens, J. & M. S. Clemens (Coll. G);Clemens
Melodorum latifolium (Dunal) Hook.f. & Thomson;Fissistigma;ID;CERAM: ca 40 km E of Masohi in Wae Ruatan/Wae Ruwata (Ruwa) catchment areas;-3.18333;129.25;Tukirin, S ;;6;12;1990;Burley, J.S.;1991-01-01T00:00:00;BPBM;BISH;613043;0;0;0;;;0;1;1;1991;0;0;0;BISH613043;nan;latifolium;"Burley, J.S. Tukirin; et al.";Tukirin
