scientificName;genus;countryID;locality;ddlat;ddlong;recordedBy;colNum_full;colDay;colMonth;colYear;detBy;detDate;institute;herbarium_code;orig_BC;specificEpithet;speciesAuthor;collectorID;prefix;sufix;colDate;detByDate;detDay;detMonth;detYear;country;continent;coordinateID;barcode;colNum;ORIG_recBy
Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.22;119.2;Elmer, A D E;13015;;4;1911;Ian Mark Turner;;NHMUK;BOT;BM000885795;concava;0;0;;;0;0;0;0;0;0;0;0;BM000885795;13015;Adolph Daniel Edward Elmer
Uvaria nudistellata Elmer;Uvaria;PH;Puerto Princesa (Mount Pulgar);10.220833;119.200308;Elmer, A D E;13015;;4;1911;Ian Mark Turner;;NHMUK;BOT;BM000885795;concava;0;0;;;0;0;0;0;0;0;0;0;BM000885795;13015;Adolph Daniel Edward Elmer
Meiogyne mindorensis (Merr.) Heusden;Meiogyne;PH;Nearest Named Place: Siargao Island;9.84829;126.04586;Ramos, M;35026;;6;1918;nan;;NHMUK;BOT;BM000632901;mindorensis;0;0;;;0;0;0;0;0;0;0;0;BM000632901;35026;M. Ramos & J. Pascasio
Mitrephora pictiflora Elmer;Mitrephora;PH;Cabalian, Leyte;10.28;125.22;Ramos, M;41501;;;;nan;;K;Herbarium;K000691986;pictiflora;0;0;;;0;0;0;0;0;0;0;0;K000691986;41501;Ramos, M.
Oncodostigma mindorense (Merr.) Bân;Meiogyne;PH;Province of Laguna, Luzon;14.17;121.33;Mabesa, C;25388;;;;nan;;K;Herbarium;K000691920;mindorensis;0;0;;;0;0;0;0;0;0;0;0;K000691920;25388;Mabesa, C.
Oncodostigma mindorense (Merr.) Bân;Meiogyne;PH;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;14.53;120.48;Williams, R S;512;24;1;1904;nan;;K;Herbarium;K000691918;mindorensis;0;0;;;0;0;0;0;0;0;0;0;K000691918;512;Williams, R.S.
Friesodielsia auriculata (Elmer) Steenis;Friesodielsia;PH;Bohol;9.83;124.17;Ramos, M;43245;;;;nan;;K;Herbarium;K000691758;auriculata;0;0;;;0;0;0;0;0;0;0;0;K000691758;43245;Ramos, M.
Orophea cumingiana S.Vidal;Orophea;PH;Prov Benguet. Kias  Luzon;16.33;120.57;Elmer, A D E;6434;;;;nan;;K;Herbarium;K000574845;cumingiana;0;0;;;0;0;0;0;0;0;0;0;K000574845;6434;Elmer, A.D.E.
Orophea luzoniensis Merr.;Pseuduvaria;PH;Bohol;9.83;124.17;Ramos, M;43211;;;;nan;;K;Herbarium;K000574830;luzoniensis;0;0;;;0;0;0;0;0;0;0;0;K000574830;43211;Ramos, M.
Annonaceae;nan;PH;Sabang, jungle trail between CPS and underground river;10.198056;118.918056;Puglisi, C;CP317;29;5;2012;nan;;E;E;E00625174;nan;0;0;CP;;0;0;0;0;0;0;0;0;E00625174;317;Puglisi, Carmen
Annonaceae;nan;PH;Underground river inflow;10.198056;118.918056;Puglisi, C;CP323;30;5;2012;nan;;E;E;E00625154;nan;0;0;CP;;0;0;0;0;0;0;0;0;E00625154;323;Puglisi, Carmen
Annonaceae;nan;PH;Mt. St. Paul;10.16;118.91;Hughes, M;MH1712;3;5;2012;nan;;E;E;E00625168;nan;0;0;MH;;0;0;0;0;0;0;0;0;E00625168;1712;Hughes, Mark
Annonaceae;nan;PH;Mt. St. Paul;10.16;118.91;Hughes, M;MH1730;3;5;2012;nan;;E;E;E00625165;nan;0;0;MH;;0;0;0;0;0;0;0;0;E00625165;1730;Hughes, Mark
Desmos chinensis Lour.;Desmos;PH;On ridge above camp two towards Cleopatra Needle by rock overhang.;10.116667;118.966667;Argent, G C G;25407;21;1;1998;nan;;E;E;E-EYT-00210855/2;chinensis;0;0;;;0;0;0;0;0;0;0;0;E00210855/2;25407;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.
Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;PH;On path from camp two towards Cleopatra Needle.;10.116667;118.966667;Argent, G C G;25380;20;1;1998;nan;;E;E;E00210862;enterocarpa;0;0;;;0;0;0;0;0;0;0;0;E00210862;25380;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.
Annonaceae;nan;PH;Barangay Banawang. Sitio Ulingan;14.616667;120.383333;Argent, G C G;99307;17;11;1999;nan;;E;E;E00271066;nan;0;0;;;0;0;0;0;0;0;0;0;E00271066;99307;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.
Polyalthia mindorensis Merr.;Polyalthia;PH;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;13.4667;120.917;Burley, J S;Collector Number: 179;28;4;1987;J.S.Burley;;BPBM;BISH;620169;mindorensis;0;0;Collector;;0;0;0;0;0;0;0;0;BISH620169;179;Burley, J.S.
Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;PH;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;13.4667;120.917;Burley, J S;Collector Number: 181;28;4;1987;J.S.Burley;;BPBM;BISH;620167;ophthalmicus;0;0;Collector;;0;0;0;0;0;0;0;0;BISH620167;181;Burley, J.S.
Drepananthus philippinensis Merr.;Drepananthus;PH;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;13.4667;120.917;Burley, J S;Collector Number: 178;28;4;1987;J.S.Burley;;BPBM;BISH;620170;acuminatus;0;0;Collector;;0;0;0;0;0;0;0;0;BISH620170;178;Burley, J.S.
