coll_surname;colnum;sufix;col_year;ddlong;ddlat;long bigger than 0.1;lat bigger than 0.1
Amdjah;1912;;1912;0.3874574606838449;12.030891963178233;True;True
Balgooy;5326;;1986;0.2253335066667023;0.0;True;False
Balgooy;5328;;1986;0.22535066700000012;0.0;True;False
Balgooy;5382;A;1986;0.2503896299999982;0.0;True;False
Balgooy;5667;;1986;0.2717794331316965;0.00022303626857141722;True;False
Beccari;401;;1878;1.2185166050000162;0.020665444999999998;True;False
Endert;5260;;1925;0.003200000000000432;1.08045;False;True
Iboet;1925;;1925;0.3251016707142863;0.22045216285714253;True;True
Kostermans;264;;1949;0.03889260500000004;6.690847805;False;True
Kostermans;50;;1949;0.02592840333333336;4.460565203333333;False;True
Kostermans;nan;;1957;45.370365185185356;13.370368962963001;True;True
Laman;914;;1997;0.006805594444499957;0.20908845777800006;False;True
Mogea;4319;;1982;8.888444449994427e-05;0.170139277778;False;True
Mogea;4396;;1982;5.92562963332646e-05;0.11342618518533334;False;True
Pleyte;1948;;1948;0.31814128485680765;0.196414182777;True;True
Rant;nan;;1924;0.506943972222326;0.09083333333333321;True;False
Slik;2;;1997;0.022979982872248075;2.208270300625;False;True
Unknown;964;;1924;0.33333333333333215;0.23148129629633327;True;True
Veldkamp;8450;;1983;3.332666699989108e-06;1.0012835566667002;False;True
Veldkamp;8567;;1983;3.702962999991187e-06;2.083333333333333;False;True
Veldkamp;8577;;1983;3.7029629999951338e-06;1.5624999999999998;False;True
Vriese;nan;;1857;0.36645424500832746;4.651519312133333;True;True
Vriese;nan;;1859;149.25128414600812;17.886575692799997;True;True
Wilde;18553;;1979;0.14963333333333884;0.036300000000000006;True;False
Wilde;18906;;1979;0.1505029130453309;0.18652925971200002;True;True
Wilde;20382;;1985;0.20905843304533378;0.22855891304533343;True;True
Zollinger;nan;;1858;0.008888844444501944;0.125;False;True
