coll_surname;scientificName;genus;specificEpithet;speciesAuthor;collectorID;recordedBy;prefix;colNum;sufix;colDate;colDay;colMonth;colYear;detBy;detByDate;detDay;detMonth;detYear;countryID;country;continent;locality;coordinateID;ddlong;ddlat;institute;herbarium_code;barcode;colNum_full;detDate;orig_BC;ORIG_recBy
Argent;Orophea enterocarpa Maingay ex Hook.f. & Thomson;Orophea;enterocarpa;0;0;Argent, G C G;;25380;;0;20;1;1998;nan;0;0;0;0;PH;0;0;On path from camp two towards Cleopatra Needle.;0;118.966667;10.116667;E;E;E00210862;25380;;E00210862;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.
Argent;Desmos chinensis Lour.;Desmos;chinensis;0;0;Argent, G C G;;25407;;0;21;1;1998;nan;0;0;0;0;PH;0;0;On ridge above camp two towards Cleopatra Needle by rock overhang.;0;118.966667;10.116667;E;E;E00210855/2;25407;;E-EYT-00210855/2;Argent, G.C.G., Cronk, Q., Mendum, M., Middleton, D.J., Wilkie, P.
Argent;Annonaceae;nan;nan;0;0;Argent, G C G;;99307;;0;17;11;1999;nan;0;0;0;0;PH;0;0;Barangay Banawang. Sitio Ulingan;0;120.383333;14.616667;E;E;E00271066;99307;;E00271066;Argent, G.C.G., Wilkie, P., Mendum, M., Fuentes, R.
Burley;Drepananthus philippinensis Merr.;Drepananthus;acuminatus;0;0;Burley, J S;Collector;178;;0;28;4;1987;J.S.Burley;0;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620170;Collector Number: 178;;620170;Burley, J.S.
Burley;Polyalthia mindorensis Merr.;Polyalthia;mindorensis;0;0;Burley, J S;Collector;179;;0;28;4;1987;J.S.Burley;0;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620169;Collector Number: 179;;620169;Burley, J.S.
Burley;Phaeanthus ebracteolatus (C.Presl) Merr.;Phaeanthus;ophthalmicus;0;0;Burley, J S;Collector;181;;0;28;4;1987;J.S.Burley;0;0;0;0;PH;0;0;7 km southwest Puerto Galera	 west of marble quarry	 Mt. Talipanan;0;120.917;13.4667;BPBM;BISH;BISH620167;Collector Number: 181;;620167;Burley, J.S.
Elmer;Uvaria nudistellata Elmer;Uvaria;concava;0;0;Elmer, A D E;;13015;;0;;4;1911;Ian Mark Turner, Ian Mark Turner;0;0;0;0;PH;0;0;Puerto Princesa (Mount Pulgar);0;119.200154;10.2204165;NHMUK, NHMUK;BOT, BOT;BM000885795, BM000885795;;;;
Elmer;Orophea cumingiana S.Vidal;Orophea;cumingiana;0;0;Elmer, A D E;;6434;;0;;;;nan;0;0;0;0;PH;0;0;Prov Benguet. Kias  Luzon;0;120.57;16.33;K;Herbarium;K000574845;6434;;K000574845;Elmer, A.D.E.
Hughes;Annonaceae;nan;nan;0;0;Hughes, M;MH;1712;;0;3;5;2012;nan;0;0;0;0;PH;0;0;Mt. St. Paul;0;118.91;10.16;E;E;E00625168;MH1712;;E00625168;Hughes, Mark
Hughes;Annonaceae;nan;nan;0;0;Hughes, M;MH;1730;;0;3;5;2012;nan;0;0;0;0;PH;0;0;Mt. St. Paul;0;118.91;10.16;E;E;E00625165;MH1730;;E00625165;Hughes, Mark
Mabesa;Oncodostigma mindorense (Merr.) Bân;Meiogyne;mindorensis;0;0;Mabesa, C;;25388;;0;;;;nan;0;0;0;0;PH;0;0;Province of Laguna, Luzon;0;121.33;14.17;K;Herbarium;K000691920;25388;;K000691920;Mabesa, C.
Puglisi;Annonaceae;nan;nan;0;0;Puglisi, C;CP;317;;0;29;5;2012;nan;0;0;0;0;PH;0;0;Sabang, jungle trail between CPS and underground river;0;118.918056;10.198056;E;E;E00625174;CP317;;E00625174;Puglisi, Carmen
Puglisi;Annonaceae;nan;nan;0;0;Puglisi, C;CP;323;;0;30;5;2012;nan;0;0;0;0;PH;0;0;Underground river inflow;0;118.918056;10.198056;E;E;E00625154;CP323;;E00625154;Puglisi, Carmen
Ramos;Meiogyne mindorensis (Merr.) Heusden;Meiogyne;mindorensis;0;0;Ramos, M;;35026;;0;;6;1918;nan;0;0;0;0;PH;0;0;Nearest Named Place: Siargao Island;0;126.04586;9.84829;NHMUK;BOT;BM000632901;35026;;BM000632901;M. Ramos & J. Pascasio
Ramos;Mitrephora pictiflora Elmer;Mitrephora;pictiflora;0;0;Ramos, M;;41501;;0;;;;nan;0;0;0;0;PH;0;0;Cabalian, Leyte;0;125.22;10.28;K;Herbarium;K000691986;41501;;K000691986;Ramos, M.
Ramos;Orophea luzoniensis Merr.;Pseuduvaria;luzoniensis;0;0;Ramos, M;;43211;;0;;;;nan;0;0;0;0;PH;0;0;Bohol;0;124.17;9.83;K;Herbarium;K000574830;43211;;K000574830;Ramos, M.
Ramos;Friesodielsia auriculata (Elmer) Steenis;Friesodielsia;auriculata;0;0;Ramos, M;;43245;;0;;;;nan;0;0;0;0;PH;0;0;Bohol;0;124.17;9.83;K;Herbarium;K000691758;43245;;K000691758;Ramos, M.
Williams;Oncodostigma mindorense (Merr.) Bân;Meiogyne;mindorensis;0;0;Williams, R S;;512;;0;24;1;1904;nan;0;0;0;0;PH;0;0;Lamao R., Mt. Mariveles, prov. Bataan Central Luzon;0;120.48;14.53;K;Herbarium;K000691918;512;;K000691918;Williams, R.S.
